Date,Revenue
31/03/2024,11300000000
31/12/2023,10849000000
30/09/2023,11953000000
30/06/2023,11972000000
31/03/2023,10980000000
31/12/2022,10125000000
30/09/2022,11063000000
30/06/2022,11325000000
31/03/2022,10491000000
31/12/2021,9464000000
30/09/2021,10042000000
30/06/2021,10129000000
31/03/2021,9020000000
31/12/2020,8611000000
30/09/2020,8652000000
30/06/2020,15751000000
31/03/2020,8601000000
31/12/2019,9068000000
30/09/2019,9507000000
30/06/2019,9997000000
31/03/2019,8020000000
31/12/2018,7058000000
30/09/2018,8245000000
30/06/2018,8927000000
31/03/2018,7626000000
31/12/2017,7512000000
30/09/2017,9078000000
30/06/2017,9702000000
31/03/2017,9118000000
31/12/2016,9409000000
30/09/2016,10633000000
30/06/2016,11539000000
31/03/2016,10282000000
31/12/2015,10000000000
30/09/2015,11427000000
30/06/2015,12156000000
31/03/2015,10711000000
31/12/2014,10872000000
30/09/2014,11976000000
30/06/2014,12574000000
